id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1558996123389513729,1558985846879145984,2022-08-14 21:56:55 EDT,2022-08-14,21:56:55,-0400,1324057911568535555,k_n16x,.,,@114_joker كرشته كبيره ماتبين سرته,ar,[],[],[],0,0,0,[],[],https://twitter.com/k_n16x/status/1558996123389513729,False,,0,,,,,,,,"[{'screen_name': '114_joker', 'name': '🏴', 'id': '1181309358623412226'}]",,,,
1558996123125424129,1558985446880735234,2022-08-14 21:56:55 EDT,2022-08-14,21:56:55,-0400,1396146925355761666,ei9f2mwvwkyy9hk,석거,,@PaalanggPINK ㅋㅋㅋ 아아 얼굴 흘끔쳐다보고 말앗는데 목소리가 너무 강렬해서 기억에남앗을듯...연혜는 한솔이 이름봣을거같은데 한솔이는 갈길이바빠 연혜이름ㅂ못봣을거같은느낌이. 감사하다고해야하는데... 전전긍긍하다가  하...어디서 마주치냐...파랑님 천재두뇌찬스쓸게요,ko,[],[],[],0,0,0,[],[],https://twitter.com/ei9F2mWVwkYy9hK/status/1558996123125424129,False,,0,,,,,,,,"[{'screen_name': 'PaalanggPINK', 'name': '파랑 한솔', 'id': '1558454621810466816'}]",,,,
1558996122990809088,1558996122990809088,2022-08-14 21:56:55 EDT,2022-08-14,21:56:55,-0400,1507852070929395714,n64xd59kqbcpmem,☺︎,,Hey! Say! JUMP FILMUSIC お譲り先を探しています  【日時】熊本10/8 夜 【枚数】各2枚 【金額】ご提示下さい  お取引 要相談です。  重複なし 2連QRごとのお譲りになります。   #FILMUSIC #jump_譲  #jump_ticket,ja,[],[],[],0,0,0,"['filmusic', 'jump_譲', 'jump_ticket']",[],https://twitter.com/N64xd59kQbcPmeM/status/1558996122990809088,False,,0,,,,,,,,[],,,,
1558996122966040581,1558996122966040581,2022-08-14 21:56:55 EDT,2022-08-14,21:56:55,-0400,1002198728730558464,dkmdyvdc2ayb32k,ほげほげ,,476B007F :参戦ID 参加者募集！ Lv150 プロトバハムート  https://t.co/8m9DIwWwov,ja,[],[],['https://pbs.twimg.com/media/CdL4WyxUYAIXPb8.jpg'],0,0,0,[],[],https://twitter.com/DKMdyvdC2ayB32k/status/1558996122966040581,False,,1,https://pbs.twimg.com/media/CdL4WyxUYAIXPb8.jpg,,,,,,,[],,,,
1558996122453954560,1558996122453954560,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,1363362021241098240,yu_k_aa___,ゆうか,,天王州アイルジブリ展のチケット16日持ってる方で17日と交換してくれる方いませんか。。2人分お願いしたいです、 #ジブリ展 #拡散希望 #交換,ja,[],[],[],0,0,0,"['ジブリ展', '拡散希望', '交換']",[],https://twitter.com/yu_k_aa___/status/1558996122453954560,False,,0,,,,,,,,[],,,,
1558996122357665793,1558996122357665793,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,66228985,marianakelly1,☘️Mariana K ☘️,,No importa qué edad tengan tus hijxs. Qué maravilloso el momento en que llegan de la ruta!,es,[],[],[],0,0,0,[],[],https://twitter.com/marianakelly1/status/1558996122357665793,False,,0,,,,,,,,[],,,,
1558996121955225601,1558996121955225601,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,1287054641448890374,k82953672,Kin_Chang ManiSol,,#世界平和  https://t.co/gXCMC78qbK,qme,[],[],"['https://pbs.twimg.com/media/FaKqtIOacAA5OpE.jpg', 'https://pbs.twimg.com/media/FaKqtIJaUAEP90t.jpg', 'https://pbs.twimg.com/media/FaKqtISaUAAT0eE.jpg']",0,0,0,['世界平和'],[],https://twitter.com/k82953672/status/1558996121955225601,False,https://twitter.com/hiroloosaki/status/1558955187020394497,1,https://pbs.twimg.com/media/FaKqtIOacAA5OpE.jpg,,,,,,,[],,,,
1558996121552408578,1558994335982465024,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,1266922912839172096,iu9k1,いっしー@日常垢,,@Nazekakesareta 頑張ってきますᕦ(ò_óˇ)ᕤ,ja,[],[],[],0,0,0,[],[],https://twitter.com/Iu9K1/status/1558996121552408578,False,,0,,,,,,,,"[{'screen_name': 'Nazekakesareta', 'name': '消滅都市に居る木', 'id': '1445350077308891138'}]",,,,
1558996121380597760,1558941407674388481,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,1517882317871939584,llioillb,NERA,,@_k_arin_0 おはりん☀️,ja,[],[],[],0,0,0,[],[],https://twitter.com/llioillb/status/1558996121380597760,False,,0,,,,,,,,"[{'screen_name': '_k_arin_0', 'name': 'かりん\u200e', 'id': '1548880415569547265'}]",,,,
1558996121283743750,1558993397179830272,2022-08-14 21:56:54 EDT,2022-08-14,21:56:54,-0400,1361838045650161665,joedirtintheho1,joedirtinthehole,,"@Acyn K, traitor. 5 head traitor",en,[],[],[],0,0,0,[],[],https://twitter.com/joedirtintheho1/status/1558996121283743750,False,,0,,,,,,,,"[{'screen_name': 'Acyn', 'name': 'Acyn', 'id': '16635277'}]",,,,
